date,source_domain,submission_url,target_url,anchor,link_type,category,status,index_status,quality_note,risk_note,evidence_url,last_checked
2026-07-11,vip-gece.com,cloudflare-email-routing,https://vip-gece.com/,backlink@vip-gece.com,mail-route,operations,active,not-applicable,"Dedicated backlink correspondence address forwards to verified Gmail destination","Operational route; not a backlink",cloudflare-dashboard,2026-07-11
2026-07-11,pornranked.com,https://www.pornranked.com/submit,https://vip-gece.com/,VIP Gece,unknown,adult-directory,submitted-awaiting-review,pending,"Free standard listing submitted; site returned Submission Received","Uncategorized selected because no escort-directory category exists; editor review pending",https://www.pornranked.com/submit,2026-07-11
2026-07-11,websitelaunches.com,https://websitelaunches.com/site/vip-gece.com,https://vip-gece.com/,vip-gece.com,nofollow,directory-citation,published-claimed-updated,live,"Existing adult/escort listing claimed through Cloudflare DNS; title description and Istanbul location updated","Live citation and referral source; optional paid completion package intentionally skipped",https://websitelaunches.com/site/vip-gece.com,2026-07-11
2026-07-12,curlie.org,https://curlie.org/public/suggest?t=adult&cat=Adult/World/T%C3%BCrk%C3%A7e,https://vip-gece.com/,VIP Gece,unknown,human-edited-directory,submitted-awaiting-editor-review,pending,"Adult/World/Türkçe submission accepted; receipt stated that an editor will review it for directory inclusion","Single compliant brand submission; publication and link attributes remain unconfirmed until an editor lists it",https://curlie.org/public/suggest,2026-07-12
2026-07-11,col.whatuseek.com,https://col.whatuseek.com/adsub.shtml,https://vip-gece.com/,VIP Gece,unknown,adult-directory,hold,not-applicable,"Adult sites have a dedicated review path","Paid terms and resulting link attributes need verification",https://col.whatuseek.com/adsub.shtml,2026-07-11
2026-07-11,submitportal.com,https://www.submitportal.com/content-policy/,https://vip-gece.com/,,none,rejected,rejected,not-applicable,"Adult content prohibited","Do not submit",https://www.submitportal.com/content-policy/,2026-07-11
2026-07-11,seolinkportal.com,https://seolinkportal.com/terms/,https://vip-gece.com/,,none,rejected,rejected,not-applicable,"Escort and adult content prohibited","Do not submit",https://seolinkportal.com/terms/,2026-07-11
2026-07-11,onemilliondirectory.com,https://www.onemilliondirectory.com/rules,https://vip-gece.com/,,none,rejected,rejected,not-applicable,"Adult and escort sites prohibited","Do not submit",https://www.onemilliondirectory.com/rules,2026-07-11
2026-07-11,porncurator.site,https://porncurator.site/submit/,https://vip-gece.com/,VIP Gece,unknown,adult-directory,hold-user-authored-review,not-applicable,"Free submission requires a unique 500-1500 word human-written review","Do not submit AI-generated copy or purchase the optional paid link",https://porncurator.site/submit/,2026-07-11
2026-07-11,hub.fetish-x.com,https://hub.fetish-x.com/submit-adult-link,https://vip-gece.com/,VIP Gece,dofollow-claimed,adult-directory,technical-hold,not-applicable,"Source claims free manually reviewed dofollow listing","Live submission endpoint returns SSL protocol error; do not send credentials",https://hub.fetish-x.com/submit-adult-link,2026-07-11
2026-07-11,porn.guru,https://porn.guru/,https://vip-gece.com/,VIP Gece,unknown,adult-directory,technical-hold,not-applicable,"Adult directory appears relevant","Live endpoint returns SSL protocol error",https://porn.guru/,2026-07-11
2026-07-11,adultwebmastersonline.com,https://adultwebmastersonline.com/,https://vip-gece.com/,VIP Gece,unknown,adult-directory,technical-hold,not-applicable,"Adult directory submission was discoverable","Live endpoint returns SSL protocol error",https://adultwebmastersonline.com/,2026-07-11
2026-07-11,zearches.com,https://zearches.com/,https://vip-gece.com/,,none,rejected,rejected,not-applicable,"Directory explicitly requests family-friendly submissions","Adult site is not eligible",https://zearches.com/,2026-07-11
2026-07-11,find-escort.us,https://find-escort.us/en/submit-url,https://vip-gece.com/,VIP Gece,unknown,escort-search-engine,technical-hold,not-applicable,"Explicitly offers free inclusion for escort directory websites and direct links","Real client TLS protocol negotiation fails; do not transmit form data",https://find-escort.us/en/submit-url,2026-07-11
2026-07-11,theeroticreview.com,https://www.theeroticreview.com/info_policies/siteListingHelp.asp,https://vip-gece.com/,,reciprocal-required,rejected,rejected,not-applicable,"Relevant adult-services directory","Requires their review logo on the site's front page before publication",https://www.theeroticreview.com/info_policies/siteListingHelp.asp,2026-07-11
2026-07-11,directory-free.com,https://www.directory-free.com/submit/submit.php,https://vip-gece.com/,,none,rejected,rejected,not-applicable,"Free tier only accepts English-language sites","VIP Gece is Turkish; paid featured tier also excludes escorts",https://www.directory-free.com/submit/submit.php,2026-07-11
2026-07-28,websitelaunches.com,https://websitelaunches.com/site/vip-gece.com,https://vip-gece.com/,vip-gece.com,nofollow,directory-citation,live-via-exact-301-to-site,not-independently-proven,"HTTP 200 source page has index/follow metadata and live nofollow links to the historical .com target","Low SEO value; keep the citation and update directly to .site only if the owner panel supports it",https://websitelaunches.com/site/vip-gece.com,2026-07-28
2026-07-28,pornranked.com,https://www.pornranked.com/submit,https://vip-gece.com/,VIP Gece,unknown,adult-directory,unpublished-stale-submission,not-applicable,"Submission endpoint is live but /site/vip-gece and /out/vip-gece return 404 and no VIP Gece listing was found","Do not resubmit pay for placement or add a reciprocal link",https://www.pornranked.com/submit,2026-07-28
2026-07-28,curlie.org,https://curlie.org/public/suggest?t=adult&cat=Adult/World/T%C3%BCrk%C3%A7e,https://vip-gece.com/,VIP Gece,unknown,human-edited-directory,submitted-not-published,pending,"Adult World Turkish category is live but contains no VIP Gece listing","Keep the single historical submission pending; do not duplicate it",https://curlie.org/en/Adult/World/T%C3%BCrk%C3%A7e,2026-07-28
2026-07-28,col.whatuseek.com,https://col.whatuseek.com/adsub.shtml,https://vip-gece.site/,VIP Gece,unknown,adult-directory,rejected-quality-risk,not-applicable,"Adult submission page is reachable but uses a paid legacy review flow and link attributes remain unclear","Do not purchase or submit",https://col.whatuseek.com/adsub.shtml,2026-07-28
2026-07-28,porncurator.site,https://porncurator.site/submit/,https://vip-gece.site/,VIP Gece,unknown,adult-directory,broken,not-applicable,"HTTPS connection could not be established during the current audit","Do not submit data",https://porncurator.site/submit/,2026-07-28
2026-07-28,hub.fetish-x.com,https://hub.fetish-x.com/submit-adult-link,https://vip-gece.site/,VIP Gece,dofollow-claimed,adult-directory,rejected-link-spam-risk,not-applicable,"Submission page is reachable and explicitly markets dofollow backlinks and SEO authority","Low-quality directory risk; do not create an account or submit",https://hub.fetish-x.com/submit-adult-link,2026-07-28
2026-07-28,porn.guru,https://porn.guru/,https://vip-gece.site/,VIP Gece,unknown,adult-directory,hold-no-publication-proof,not-applicable,"Site is reachable but no VIP Gece source URL or publication evidence was found","Do not claim or pursue without independent index and referral evidence",https://porn.guru/,2026-07-28
2026-07-28,adultwebmastersonline.com,https://adultwebmastersonline.com/,https://vip-gece.site/,VIP Gece,unknown,adult-directory,rejected-low-quality,not-applicable,"Legacy software banner ads and link-exchange surfaces dominate the site","High spam and security-quality risk; do not submit",https://adultwebmastersonline.com/,2026-07-28
2026-07-28,find-escort.us,https://find-escort.us/en/submit-url,https://vip-gece.site/,VIP Gece,unknown,escort-search-engine,hold-low-quality-risk,not-applicable,"Submission page is reachable but no VIP Gece publication was found","Niche relevance alone is insufficient; require index and real referral proof before reconsidering",https://find-escort.us/en/submit-url,2026-07-28
2026-07-28,theeroticreview.com,https://www.theeroticreview.com/info_policies/siteListingHelp.asp,https://vip-gece.site/,,reciprocal-required,adult-services-directory,rejected,rejected,"Current audit timed out and the historical listing policy requires a reciprocal homepage logo","Do not add reciprocal or sitewide links",https://www.theeroticreview.com/info_policies/siteListingHelp.asp,2026-07-28
2026-08-05,vip-gece.com,google-search-console-links,https://vip-gece.site/,mixed historical anchors,301-preserved,legacy-domain-migration,live,search-console-proven,"Post-deploy Search Console owner UI still reports 78 external links and only vip-gece.com as a linking domain; all 39 district paths preserve path and query through exact 301 redirects","Migration continuity is proven but this is not an independent referring-domain acquisition",https://search.google.com/search-console/links,2026-08-06
2026-08-05,websitelaunches.com,https://websitelaunches.com/site/vip-gece.com,https://vip-gece.com/,vip-gece.com,nofollow,directory-citation,live-via-exact-301-to-site,live-source-not-yet-in-gsc,"Source page is HTTP 200 and still links to the historical .com target; exact 301 reaches .site","Signed-in owner session is unavailable; do not claim direct target update until the source record changes",https://websitelaunches.com/site/vip-gece.com,2026-08-05
2026-08-05,euroescort.directory,https://euroescort.directory/page/registration/,https://vip-gece.site/,VIP Gece,unknown,adult-directory,hold-owner-data-and-paid-network-review,not-applicable,"Agency registration is supported but promotes paid packages and a 15-site advertising network","Do not create listings or republish profile data without owner consent cost approval and link-attribute review",https://euroescort.directory/page/registration/,2026-08-05
2026-08-05,pibilo.com,https://pibilo.com/,https://vip-gece.site/,VIP Gece,unknown,adult-directory,rejected-geographic-mismatch,not-applicable,"Public country presence shown in the current audit is India rather than Turkey","Geographic mismatch and no verified Istanbul editorial value",https://pibilo.com/,2026-08-05
2026-08-06,websitelaunches.com,https://websitelaunches.com/submit-site.php,https://vip-gece.site/,unknown,unknown,directory-citation,submitted-awaiting-detection,pending,"Direct canonical .site domain was accepted by the source review form; the source confirmed it will check the domain and automatically create a system-dated record if detected live","Do not count as a backlink until a distinct HTTP 200 source record with a live outbound target is verified",https://websitelaunches.com/submit-site.php,2026-08-06
2026-08-06,adultindustry.news,https://adultindustry.news/contact/,https://vip-gece.site/,editorial-discretion,unknown,adult-industry-news,editorial-outreach-sent,pending,"Factual English press release was sent; the 2026-08-29 publisher search and REST search returned no VIP Gece result or outbound vip-gece.site link","Independent editorial acceptance remains unconfirmed; keep pending and do not count until a live article is verified",https://adultindustry.news/contact/,2026-08-29
2026-08-06,xbiz.com,https://xbizmedia.com/contact-index.php,https://vip-gece.site/,editorial-discretion,unknown,adult-industry-news,editorial-outreach-delivered,pending,"News inquiry was delivered; the 2026-08-29 official XBIZ searches for VIP Gece and vip-gece.site returned no publication result","Independent editorial acceptance remains unconfirmed; keep pending and do not count until a live XBIZ source is verified",https://xbizmedia.com/contact-index.php,2026-08-29
